infrastructure-funding-statement,collection,organisation,documentation-url,endpoint-url,entry-date,start-date,end-date,slug
7c7548db24dba2273f84e7c9c84f768fb03f42d7912a1685e179e774ff961ebe,,local-authority-eng:COP,https://www.copeland.gov.uk/content/monitoring,https://www.copeland.gov.uk/sites/default/files/attachments/infrastructure_funding_statement.pdf,2020-12-18,2020-12-18,,/infrastructure-funding-statement/local-authority-eng/COP/7c7548db24dba2273f84e7c9c84f768fb03f42d7912a1685e179e774ff961ebe
c6da8c1d474cc73ba260056b11aecd01151bd11128e8010d36841922a5d891bd,,local-authority-eng:SND,https://www.sunderland.gov.uk/planning-obligations,https://www.sunderland.gov.uk/article/17802/Infrastructure-Funding-Statement-2019-20-PDF,2020-12-18,2020-12-18,,/infrastructure-funding-statement/local-authority-eng/SND/c6da8c1d474cc73ba260056b11aecd01151bd11128e8010d36841922a5d891bd
0b4ed56ad48a25e24987af3cd0435929fbd7e0fdc66213f701577284bc884130,,national-park-authority:Q72617158,https://www.newforestnpa.gov.uk/planning/infrastructure-funding-statements/,https://www.newforestnpa.gov.uk/app/uploads/2020/12/NFNPA-Infrastructure-Funding-Statement-December-2020.pdf,2020-12-18,2020-12-18,,/infrastructure-funding-statement/national-park-authority/Q72617158/0b4ed56ad48a25e24987af3cd0435929fbd7e0fdc66213f701577284bc884130
11f4fb07484fe4360fc6d9fd6605f7f056cc8ce054a55217b2ef8a6ec0febf5d,,local-authority-eng:BAB,,https://www.midsuffolk.gov.uk/assets/CIL-and-S106-Documents/APPENDIX-K-Infrastructure-Funding-Statement-Infrastructure-List-Babergh.pdf,2020-12-18,2020-12-18,,/infrastructure-funding-statement/local-authority-eng/BAB/11f4fb07484fe4360fc6d9fd6605f7f056cc8ce054a55217b2ef8a6ec0febf5d
65a5f478d30f5a8223ec49faafa46ed8ae3e8c7f4563bfed876b24f0c340a0a2,,local-authority-eng:MSU,,https://www.midsuffolk.gov.uk/assets/CIL-and-S106-Documents/APPENDIX-L-Infrastructure-Funding-Statement-Infrastructure-List-Mid-Suffolk.pdf,2020-12-18,2020-12-18,,/infrastructure-funding-statement/local-authority-eng/MSU/65a5f478d30f5a8223ec49faafa46ed8ae3e8c7f4563bfed876b24f0c340a0a2
b87c6cbf1fccf8f66428de07d95e3f76828d05e8135b7dd3f8bb8be9ab946e74,,local-authority-eng:WDE,https://westdevon.gov.uk/developer-contributions,https://westdevon.gov.uk/media/6146/Infrastructure-Funding-Statement-2019-20/pdf/Infrastructure_Funding_Statement_2019-20_WD.pdf?m=637438088034200000,2020-12-18,2020-12-18,,/infrastructure-funding-statement/local-authority-eng/WDE/b87c6cbf1fccf8f66428de07d95e3f76828d05e8135b7dd3f8bb8be9ab946e74
ad80f7ccf7bab6bfdac641f94047d30a52a9331059896f09e9e5b657c2456136,,local-authority-eng:SHA,https://southhams.gov.uk/developer-contribution,https://southhams.gov.uk/media/6142/Infrastructure-Funding-Statement-2019-20/pdf/Infrastructure_Funding_Statement_2019-20_SH.pdf?m=637438165848270000,2020-12-18,2020-12-18,,/infrastructure-funding-statement/local-authority-eng/SHA/ad80f7ccf7bab6bfdac641f94047d30a52a9331059896f09e9e5b657c2456136
97a5450d1caa2aa284477a63be8be2381f86e8bc48ea4b9f9c5bca306d406907,,local-authority-eng:EHE,https://www.eastherts.gov.uk/about-east-herts-0/east-herts-annual-infrastructure-funding-statements,https://cdn-eastherts.onwebcurl.com/s3fs-public/2020-12/East%20Herts%20Council%20Annual%20Infrastructure%20Funding%20Statement%202019-2020%20-%20web%20version.pdf,2020-12-16,2020-12-16,,/infrastructure-funding-statement/local-authority-eng/EHE/97a5450d1caa2aa284477a63be8be2381f86e8bc48ea4b9f9c5bca306d406907
f22f4cce592cc1df0e48174d08fdb9a8fb220126226b524f44b987ace908f680,,local-authority-eng:NFK,https://www.norfolk.gov.uk/rubbish-recycling-and-planning/planning-applications/planning-obligations,https://www.norfolk.gov.uk/-/media/norfolk/downloads/rubbish-recycling-planning/planning/infrastructure-funding-statement-report-2019-to-2020.pdf,2020-12-16,2020-12-16,,/infrastructure-funding-statement/local-authority-eng/NFK/f22f4cce592cc1df0e48174d08fdb9a8fb220126226b524f44b987ace908f680
cf6efb1d952d583c56c2b717b37b646f63d92f0f621c4be9255bf20ec90539e5,,local-authority-eng:ADU,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,"https://www.adur-worthing.gov.uk/media/Media,158840,smxx.pdf",2020-12-21,2020-12-21,,/infrastructure-funding-statement/local-authority-eng/ADU/cf6efb1d952d583c56c2b717b37b646f63d92f0f621c4be9255bf20ec90539e5
4df9030c9d440b7ddbf90ac544afc9100c59e7dc469823847dd055d4916948d6,,local-authority-eng:WOT,https://www.adur-worthing.gov.uk/planning-policy/worthing/worthing-developer-contributions/developer-contributions-data-worthing/,"https://www.adur-worthing.gov.uk/media/Media,158846,smxx.pdf",2020-12-21,2020-12-21,,/infrastructure-funding-statement/local-authority-eng/WOT/4df9030c9d440b7ddbf90ac544afc9100c59e7dc469823847dd055d4916948d6
8b9e2605ddfbb05b6363111d216f801c86b93f7cad7f2c3c2a39dd21a336cd4a,,local-authority-eng:MEL,http://www.melton.gov.uk/downloads/file/5339/mbc_infrastructure_funding_statement_2020,http://www.melton.gov.uk/download/downloads/id/5339/mbc_infrastructure_funding_statement_2020.pdf,2020-12-21,2020-12-21,,/infrastructure-funding-statement/local-authority-eng/MEL/8b9e2605ddfbb05b6363111d216f801c86b93f7cad7f2c3c2a39dd21a336cd4a
ee52f3a1b11f61c9180fa1e7c9f84575f91c3432e4e36ac33165e05d820dbd82,,local-authority-eng:SHE,https://folkestone-hythe.gov.uk/planning/infrastructure-funding-statement,https://folkestone-hythe.gov.uk/media/3189/Draft-Infrastructure-Funding-Statement-November-2020-/pdf/FHDC_Infrastructure_Funding_Statement_November_2020_Draft.pdf?m=637441633986700000,2020-12-22,2020-12-22,,/infrastructure-funding-statement/local-authority-eng/SHE/ee52f3a1b11f61c9180fa1e7c9f84575f91c3432e4e36ac33165e05d820dbd82
c2876e7307f86ff2ffe34c908ac3395a0dceb61ac4a4d482789f0a855728633e,,local-authority-eng:ERE,https://www.erewash.gov.uk/planning-policy/infrastructure-funding-statement.html?highlight=WyJpbmZyYXN0cnVjdHVyZSJd,https://www.erewash.gov.uk/images/Planning_Policy/Infrastructure_Funding_Statement_Report_2020_Website_Version.pdf,2020-12-22,2020-12-22,,/infrastructure-funding-statement/local-authority-eng/ERE/c2876e7307f86ff2ffe34c908ac3395a0dceb61ac4a4d482789f0a855728633e
3109a5cf3868b36b4979a87ed6f760ed1802983897f383e831a2ad4e20655191,,local-authority-eng:TEN,https://www.tendringdc.gov.uk/planning/planning-applications/what-are-section-106-legal-agreements,https://www.tendringdc.gov.uk/sites/default/files/documents/planning/IFS%20FINAL%20-%20Accessible.pdf,2020-12-22,2020-12-22,,/infrastructure-funding-statement/local-authority-eng/TEN/3109a5cf3868b36b4979a87ed6f760ed1802983897f383e831a2ad4e20655191
a7f8a7c4f1a74afd30fd5bfda6b469e59e608661eb87d710a2e7938954e83908,,local-authority-eng:NLN,https://www.northlincs.gov.uk/planning-and-environment/section-106-obligations/,https://www.northlincs.gov.uk/wp-content/uploads/2020/12/Infrastructure-Funding-Statement-2019.2020-a.pdf,2020-12-22,2020-12-22,,/infrastructure-funding-statement/local-authority-eng/NLN/a7f8a7c4f1a74afd30fd5bfda6b469e59e608661eb87d710a2e7938954e83908
870dc46da246b0bfa724536b7ad0a6a21d2bff486b284d6dba20c5520c293a32,,local-authority-eng:EST,http://www.eaststaffsbc.gov.uk/planning/planning-policy/infrastructure-funding-statement,http://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/planningpolicy/ESBC%20IFS_2019.20_FINAL_Dec20.pdf,2020-12-22,2020-12-22,,/infrastructure-funding-statement/local-authority-eng/EST/870dc46da246b0bfa724536b7ad0a6a21d2bff486b284d6dba20c5520c293a32
90374df1b83326abb40001f3a05f9c90e39b5ba4af3762c0b5a5663246320969,,local-authority-eng:BRX,https://www.broxbourne.gov.uk/ifs,https://www.broxbourne.gov.uk/downloads/file/1310/infrastructure-funding-statement-2019-20,2020-12-22,2020-12-22,,/infrastructure-funding-statement/local-authority-eng/BRX/90374df1b83326abb40001f3a05f9c90e39b5ba4af3762c0b5a5663246320969
44d63f11e132e33297591ac6acee04e4122840192000d624d2cdb6883d1fa8a7,,local-authority-eng:NEA,https://www.newark-sherwooddc.gov.uk/business/infrastructuretosupportgrowth/,https://www.newark-sherwooddc.gov.uk/media/newarkandsherwood/imagesandfiles/business/pdf/Infrastructure%20Funding%20Statement%202020.pdf,2020-12-23,2020-12-23,,/infrastructure-funding-statement/local-authority-eng/NEA/44d63f11e132e33297591ac6acee04e4122840192000d624d2cdb6883d1fa8a7
fd10411ca1265ebfaa179d3bd4ea2f65e559e2ac476f405790367703375b5f51,,local-authority-eng:CHR,https://www.cherwell.gov.uk/info/115/planning/32/what-is-a-planning-obligation,https://modgov.cherwell.gov.uk/documents/b9956/Agenda%20Item%2010%20-%20Infrastructure%20Funding%20Statement%20201920%20Monday%2007-Dec-2020%2018.30%20Executive.pdf?T=9,2020-12-23,2020-12-23,,/infrastructure-funding-statement/local-authority-eng/CHR/fd10411ca1265ebfaa179d3bd4ea2f65e559e2ac476f405790367703375b5f51
10fbff9a342fbc7317506e1c1f6c612d01fbe9643142bb755b99dd8064e288e6,,local-authority-eng:CHA,https://www.charnwood.gov.uk/pages/106_agreements,https://www.charnwood.gov.uk/files/documents/charnwood_infrastructure_funding_statement/Charnwood%20Infrastructure%20Funding%20Statement.pdf,2020-12-23,2020-12-23,,/infrastructure-funding-statement/local-authority-eng/CHA/10fbff9a342fbc7317506e1c1f6c612d01fbe9643142bb755b99dd8064e288e6
e16909fb53ee553936ef777578f4d6b35f64885829f1642be81163c3e499bd0f,,local-authority-eng:BOL,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,https://www.bolton.gov.uk/downloads/file/3212/infrastructure-funding-statement-2019-20,2020-12-23,2020-12-23,,/infrastructure-funding-statement/local-authority-eng/BOL/e16909fb53ee553936ef777578f4d6b35f64885829f1642be81163c3e499bd0f
51e9249761a3f4161a5d0db7a53fa7258e759db0dc531b13bfc5d5141f7c2167,,local-authority-eng:ISL,https://www.islington.gov.uk/planning/planning-policy/planning-obligations-and-community-infrastructure-levy/spending-developer-contributions,https://www.islington.gov.uk/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/information/factsheets/20202021/20201223lbiinfrastructurefundingstatement19201.pdf?la=en&hash=7A90A67E2A1BAD74622FFF2C93F7B166E6B99837,2020-12-24,2020-12-24,,/infrastructure-funding-statement/local-authority-eng/ISL/51e9249761a3f4161a5d0db7a53fa7258e759db0dc531b13bfc5d5141f7c2167
67baa5acd9bf32c476cd63e37c1d4011a53f5c6a1cf00a98132df2b88e3b913b,,local-authority-eng:GOS,https://www.gosport.gov.uk/article/1953/Infrastructure-Funding-Statement-IFS-and-Developer-Contributions,https://www.gosport.gov.uk/media/2854/Infrastructure-Funding-Statement-IDP-2020/pdf/Infrastructure_Funding_Statement___IDP_2020.pdf?m=637414643384270000,2020-12-29,2020-12-29,,/infrastructure-funding-statement/local-authority-eng/GOS/67baa5acd9bf32c476cd63e37c1d4011a53f5c6a1cf00a98132df2b88e3b913b
bdb90ec7d666a63c59d12144ec9df3388aed7dd11bcbeaafadb331755b1181d0,,local-authority-eng:CMA,https://cumbria.gov.uk/planning-environment/ifs.asp,https://www.cumbria.gov.uk/elibrary/Content/Internet/535/18042/4419511462.pdf,2021-01-04,2021-01-04,,/infrastructure-funding-statement/local-authority-eng/CMA/bdb90ec7d666a63c59d12144ec9df3388aed7dd11bcbeaafadb331755b1181d0
e08794ac2fb5e58a81ad9bcdbd91231d6ecc0ea004536882fa957fb42e6649d8,,local-authority-eng:WIL,https://www.wiltshire.gov.uk/article/2435/Community-Infrastructure-Levy,https://www.wiltshire.gov.uk/media/5448/Wiltshire-Infrastructure-Funding-Statement/pdf/Wiltshire_Infrastructure_Funding_Statement_December_20201.pdf?m=637449203025030000,2021-01-04,2021-01-04,,/infrastructure-funding-statement/local-authority-eng/WIL/e08794ac2fb5e58a81ad9bcdbd91231d6ecc0ea004536882fa957fb42e6649d8
eaaa46514dd73344720a486cdfab817b528c667a9dfaa05ac30ce3e595ec9da4,,local-authority-eng:NTY,https://my.northtyneside.gov.uk/category/1140/monitoring-reports,https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Infrastructure%20Funding%20Statement%202019_20_0.pdf,2021-01-04,2021-01-04,,/infrastructure-funding-statement/local-authority-eng/NTY/eaaa46514dd73344720a486cdfab817b528c667a9dfaa05ac30ce3e595ec9da4
b457d73a58901af2eef3f1f75d81c7fec4a9b1c56e57f879fbabab78fccaa89f,,local-authority-eng:HRT,https://www.eastherts.gov.uk/about-east-herts-0/east-herts-annual-infrastructure-funding-statements,https://www.hertfordshire.gov.uk/media-library/documents/environment-and-planning/planning/final-infrastructure-funding-statement-hcc-24.12.2020.pdf,2021-01-04,2021-01-04,,/infrastructure-funding-statement/local-authority-eng/HRT/b457d73a58901af2eef3f1f75d81c7fec4a9b1c56e57f879fbabab78fccaa89f
bd592e3f245035bfbbbf2248182b8d9edab2fb3ecce01099dd405fd8c5256c0f,,local-authority-eng:CHT,https://www.cheltenham.gov.uk/downloads/file/8295/cil_infrastructure_funding_statement,https://www.cheltenham.gov.uk/download/downloads/id/8295/cil_infrastructure_funding_statement.pdf,2021-01-04,2021-01-04,,/infrastructure-funding-statement/local-authority-eng/CHT/bd592e3f245035bfbbbf2248182b8d9edab2fb3ecce01099dd405fd8c5256c0f
baba3a338225125f56fe13780615d5c22ba56f3d531edbe8f7764d3d4c9fe0c0,,local-authority-eng:GLO,https://www.gloucester.gov.uk/planning-development/developer-contributions/,https://www.gloucester.gov.uk/media/4787/gloucester-city-council-infrastructure-funding-statement-2020.pdf,2021-01-04,2021-01-04,,/infrastructure-funding-statement/local-authority-eng/GLO/baba3a338225125f56fe13780615d5c22ba56f3d531edbe8f7764d3d4c9fe0c0
816d87e55610da3a422bfb654527adf556c7b4f6d3d46ff042bc911d0e67d0d0,,local-authority-eng:FOE,https://www.fdean.gov.uk/planning-and-building/planning-policy/local-plan-supporting-information/,https://www.fdean.gov.uk/media/8d89dc4e55e0338/infrastructure-funding-statement.pdf,2021-01-11,2021-01-11,,/infrastructure-funding-statement/local-authority-eng/FOE/816d87e55610da3a422bfb654527adf556c7b4f6d3d46ff042bc911d0e67d0d0
5e8ed72572d0ab5fc2b434f576597a7b0e08e06fa135e6ac3b7c1a5f1659aff0,,local-authority-eng:EPS,https://epsom-ewell.gov.uk/residents/planning/planning-policy/community-infrastructure-levy-cil-guidance/annual-report,https://epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/community-infrastructure-levy-cil/IFS%20Final%2019-20.pdf,2021-01-11,2021-01-11,,/infrastructure-funding-statement/local-authority-eng/EPS/5e8ed72572d0ab5fc2b434f576597a7b0e08e06fa135e6ac3b7c1a5f1659aff0
27a023382cbc90dbaa5d75680a98b9c1b1af555055d5a254fed47d832c4567c1,,local-authority-eng:AMB,https://www.ambervalley.gov.uk/planningobligations,https://info.ambervalley.gov.uk/docarc/docviewer.aspx?docguid=e3c61cf45a60473e8d67f32aa461cf46,2021-01-11,2021-01-11,,/infrastructure-funding-statement/local-authority-eng/AMB/27a023382cbc90dbaa5d75680a98b9c1b1af555055d5a254fed47d832c4567c1
81971fb1a3bd5fa1e829bd168947b6056f61726ba06d1ece7cf905120156c5b4,,local-authority-eng:DOR,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/community-infrastructure-levy/purbeck-community-infrastructure-levy/dorset-council-community-infrastructure-levy.aspx,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/community-infrastructure-levy/dorset-temporary-page/the-infrastructure-funding-statement-2019-20-dorset-council.pdf,2021-01-11,2021-01-11,,/infrastructure-funding-statement/local-authority-eng/DOR/81971fb1a3bd5fa1e829bd168947b6056f61726ba06d1ece7cf905120156c5b4
60a1e3e7dc432adf67d38795b2e5b5bd85b5c2eff1bd7d4babdd0581e978de5f,,local-authority-eng:SWT,https://www.somersetwestandtaunton.gov.uk/planning-policy/cil/,https://www.somersetwestandtaunton.gov.uk/media/2554/planning-obligations-annual-ifs-2019-20.pdf,2021-01-14,2021-01-14,,/infrastructure-funding-statement/local-authority-eng/SWT/60a1e3e7dc432adf67d38795b2e5b5bd85b5c2eff1bd7d4babdd0581e978de5f
49a0c3f797444e1abdcf064b12598931d86f97c1781102adef4ae0d2027d8981,,local-authority-eng:LAC,http://www.lancaster.gov.uk/planning/infrastructure-funding-statement,http://www.lancaster.gov.uk/assets/attach/6580/Funding%20statement.docx,2021-01-14,2021-01-14,,/infrastructure-funding-statement/local-authority-eng/LAC/49a0c3f797444e1abdcf064b12598931d86f97c1781102adef4ae0d2027d8981
